theme,count,indicator
GENERAL_GOVERNMENT,374217,
EPU_POLICY_GOVERNMENT,326172,
CRISISLEX_C07_SAFETY,314495,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,284508,
CRISISLEX_CRISISLEXREC,263908,
,228398,
ARMEDCONFLICT,209897,
MILITARY,207250,
SECURITY_SERVICES,206116,
KILL,200444,
WB_2433_CONFLICT_AND_VIOLENCE,197961,
USPEC_POLITICS_GENERAL1,194013,
TAX_FNCACT_POLICE,184820,
MANMADE_DISASTER_IMPLIED,171308,
CRISISLEX_T03_DEAD,166909,
GENERAL_HEALTH,157428,
LEADER,157328,
PROTEST,155251,FreeSpeech
UNGP_CRIME_VIOLENCE,154720,
ARREST,153174,
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,149492,FreeSpeech
MEDICAL,145698,
WB_678_DIGITAL_GOVERNMENT,145041,
WB_694_BROADCAST_AND_MEDIA,138421,FreeSpeech
DEMOCRACY,132526,
WB_696_PUBLIC_SECTOR_MANAGEMENT,130849,
TAX_ETHNICITY_ROHINGYA,126713,
EPU_ECONOMY_HISTORIC,122264,
EPU_POLICY_POLITICAL,121468,
WB_621_HEALTH_NUTRITION_AND_POPULATION,118810,
EDUCATION,116992,Schooling
UNGP_POLITICAL_FREEDOMS,113424,FreeSpeech
ELECTION,113087,
UNGP_FORESTS_RIVERS_OCEANS,112311,
WB_2203_HUMAN_RIGHTS,111587,HumanRights
TAX_FNCACT_PRESIDENT,109695,
TAX_WORLDMAMMALS_HUMAN,106865,
MEDIA_MSM,106827,
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,104176,
WB_2462_POLITICAL_VIOLENCE_AND_WAR,102143,
CRISISLEX_C03_WELLBEING_HEALTH,99045,
TAX_WORLDLANGUAGES_CHINESE,97309,
TAX_ETHNICITY_CHINESE,96728,
TAX_WORLDLANGUAGES_BURMA,95451,
SOC_GENERALCRIME,95438,
SELF_IDENTIFIED_HUMAN_RIGHTS,95019,HumanRights
TAX_FNCACT_LEADER,94310,
EPU_CATS_NATIONAL_SECURITY,93114,
AFFECT,91848,
CRISISLEX_T02_INJURED,88446,
LEGISLATION,87836,
TAX_DISEASE_CORONAVIRUS,87595,
BORDER,87498,
WB_840_JUSTICE,87101,
TAX_FNCACT_MINISTER,86739,
TAX_WORLDLANGUAGES_RAKHINE,86407,
TAX_ETHNICITY_RAKHINE,86160,
TERROR,84456,
WB_2490_NATIONAL_PROTECTION_AND_SECURITY,84413,
TAX_FNCACT_AUTHORITIES,81950,
WB_2468_CONVENTIONAL_WAR,81524,
EPU_POLICY_AUTHORITIES,81189,
MEDIA_SOCIAL,80324,FreeSpeech
WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM,79189,HumanRights
EPU_POLICY_LAW,78220,
EPU_CATS_MIGRATION_FEAR_FEAR,76733,
WB_135_TRANSPORT,73848,
TRIAL,71970,
USPEC_POLICY1,70107,
MOVEMENT_GENERAL,69001,
WB_635_PUBLIC_HEALTH,68917,
TAX_FNCACT_SOLDIERS,67661,
TAX_FNCACT_OFFICIALS,66913,
TAX_FNCACT_LEADERS,65771,
TAX_FNCACT_WORKERS,65347,
WB_831_GOVERNANCE,64321,
EPU_ECONOMY,64265,
SOC_POINTSOFINTEREST_PRISON,62741,
WB_507_ENERGY_AND_EXTRACTIVES,62508,
TAX_FNCACT_OFFICIAL,62135,
UNGP_HEALTHCARE,61449,
TAX_MILITARY_TITLE_SOLDIERS,60958,
WB_1014_CRIMINAL_JUSTICE,60554,
WB_2165_HEALTH_EMERGENCIES,60140,
WB_832_ANTI_CORRUPTION,59232,Corruption
TAX_FNCACT_CHILDREN,58036,
WB_2167_PANDEMICS,56442,
WB_2166_HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,56442,
WB_1803_TRANSPORT_INFRASTRUCTURE,56183,
SANCTIONS,56120,
REBELLION,56001,
WOUND,55978,
TAX_FNCACT_CHIEF,54499,
UNREST_CRACKDOWN,53312,
CRISISLEX_T01_CAUTION_ADVICE,53031,
WB_895_MINING_SYSTEMS,53018,
CRISISLEX_T11_UPDATESSYMPATHY,52408,
WB_1699_METAL_ORE_MINING,52197,
TAX_WORLDLANGUAGES_BURMESE,52179,
WB_2507_HUMAN_RIGHTS_ABUSES_AND_VIOLATIONS,51571,HumanRights
TAX_FNCACT_WOMEN,50911,Gender_Inequality 
WB_2445_NON_STATE_SECURITY_ACTORS,49210,
WB_698_TRADE,48862,
TAX_ETHNICITY_ASIAN,47381,
TAX_DISEASE_COVID_19,47113,
SEIZE,46331,
REFUGEES,45144,HumanRights
TAX_FNCACT_TROOPS,45120,
WB_2936_GOLD,44945,
HEALTH_PANDEMIC,44328,
WB_137_WATER,44256,
WB_652_ICT_APPLICATIONS,43823,
WB_658_ENTERPRISE_APPLICATIONS,43823,
WB_1921_PRIVATE_SECTOR_DEVELOPMENT,43787,
SOC_POINTSOFINTEREST_UNIVERSITY,43669,Schooling
TAX_ECON_PRICE,43226,
SELF_IDENTIFIED_ATROCITY,43210,
WB_662_SOCIAL_MEDIA,43199,FreeSpeech
WB_2670_JOBS,41578,
SOC_POINTSOFINTEREST_SCHOOL,41335,Schooling
WB_470_EDUCATION,40642,Schooling
CORRUPTION,40283,Corruption 
TAX_FNCACT_DEMONSTRATORS,39513,
TAX_ETHNICITY_INDIAN,38453,
CRISISLEX_C04_LOGISTICS_TRANSPORT,38247,
TAX_FNCACT_MAN,38094,
CRISISLEX_T08_MISSINGFOUNDTRAPPEDPEOPLE,38013,
SOC_POINTSOFINTEREST_HOSPITAL,38000,
TAX_WORLDLANGUAGES_KACHIN,37866,
TAX_ETHNICITY_KACHIN,37813,
TAX_WORLDLANGUAGES_RUSSIA,37315,
TAX_FNCACT_SPOKESMAN,37255,
EPU_CATS_MIGRATION_FEAR_MIGRATION,36623,
POLITICAL_PRISONER,36392,
TAX_POLITICAL_PARTY_NATIONAL_LEAGUE_FOR_DEMOCRACY,36085,FreeSpeech
TAX_TERROR_GROUP_NATIONAL_LEAGUE_FOR_DEMOCRACY,36081,FreeSpeech
WB_2451_REBELS_GUERRILLAS_AND_INSURGENTS,35949,
WB_134_SOCIAL_DEVELOPMENT,35835,
ENV_METALS,35687,
TAX_WORLDLANGUAGES_MAUNG,34885,
TAX_FNCACT_VICTIMS,34313,
TAX_FNCACT_STUDENTS,34160,Schooling
USPEC_UNCERTAINTY1,33533,
TAX_FNCACT_ACTIVISTS,33048,
WB_1406_DISEASES,33038,
MARITIME,32155,
TAX_FNCACT_DIRECTOR,32128,
TAX_DISEASE_COVID,31486,
WB_2024_ANTI_CORRUPTION_AUTHORITIES,31301,Corruption
TAX_ETHNICITY_THAI,30974,
WB_1331_HEALTH_TECHNOLOGIES,30880,
TAX_FNCACT_OFFICER,30527,
WB_1350_PHARMACEUTICALS,30502,
TAKE_OFFICE,30356,
BAN,30337,
WB_2019_ANTI_CORRUPTION_LEGISLATION,29051,Corruption
WB_2020_BRIBERY_FRAUD_AND_COLLUSION,29025,
TAX_WORLDLANGUAGES_JAPANESE,28956,
TAX_ETHNICITY_JAPANESE,28864,
TAX_FNCACT_WOMAN,28636,Gender_Inequality
TAX_FNCACT_OFFICERS,28587,
TAX_FNCACT_VILLAGERS,28408,
TAX_FNCACT_SECRETARY,28396,
WB_2509_GENOCIDE,28094,
ALLIANCE,28084,
DISPLACED,27726,
TAX_FNCACT_GENERALS,27692,
TAX_ETHNICITY_AMERICAN,27613,
CONSTITUTIONAL,27537,
TAX_RELIGION_MUSLIM,26891,
TAX_ETHNICITY_MUSLIM,26890,
TAX_RELIGION_BUDDHIST,26782,
TAX_ETHNICITY_BUDDHIST,26769,
MARITIME_INCIDENT,26402,
TAX_FNCACT_PRIME_MINISTER,26236,
VIOLENT_UNREST,26124,
TAX_ETHNICITY_MUSLIMS,25989,
TAX_RELIGION_MUSLIMS,25959,
WB_1804_AIRPORTS,25851,
WB_2025_INVESTIGATION,25795,
SOC_POINTSOFINTEREST_AIRPORT,25336,
EPU_POLICY_POLICY,24230,
WB_2453_ORGANIZED_CRIME,23754,
TAX_FNCACT_SPOKESPERSON,23626,
TAX_FNCACT_CITIZENS,23471,
POLITICAL_TURMOIL,23316,
CRISISLEX_T04_INFRASTRUCTURE,22911,
TAX_FNCACT_JOURNALIST,22735,
TAX_DISEASE_OUTBREAK,22423,
WB_405_BUSINESS_CLIMATE,22186,
TAX_MILITARY_TITLE_OFFICER,22118,
WB_2530_BUSINESS_ENVIRONMENT,22100,
WB_2531_INSPECTIONS_LICENSING_AND_PERMITS,21801,
WB_346_COMPETITIVE_INDUSTRIES,21788,
WB_2456_DRUGS_AND_NARCOTICS,21395,Drugs
URBAN,21137,
SLFID_DICTATORSHIP,20646,
WB_421_SOCIAL_INCLUSION,20616,
ENV_MINING,20219,
DELAY,20033,
WB_933_ETHNIC_RELIGIOUS_AND_OTHER_MINORITIES,19947,
TAX_FNCACT_FATHER,19905,
TAX_FNCACT_AMBASSADOR,19860,
TAX_WEAPONS_GUN,19802,
TAX_FNCACT_LAWYER,19761,
WB_1427_NON_COMMUNICABLE_DISEASE_AND_INJURY,19698,
TAX_FNCACT_DEPUTY,19683,
RELIGION,19670,
TAX_WORLDLANGUAGES_CHIPPEWA,19663,
TAX_FNCACT_EXECUTIVE,19553,
TAX_FNCACT_SUPPORTERS,19480,
WB_1467_EDUCATION_FOR_ALL,19250,Schooling
STATE_OF_EMERGENCY,19188,
TAX_FOODSTAPLES_RICE,19133,
CEASEFIRE,19020,
HEALTH_VACCINATION,19011,
WB_435_AGRICULTURE_AND_FOOD_SECURITY,19011,
WB_2465_REVOLUTIONARY_VIOLENCE,18900,
CRISISLEX_O01_WEATHER,18713,
CRISISLEX_O02_RESPONSEAGENCIESATCRISIS,18570,
WB_738_SOCIAL_COHESION,18483,
WB_639_REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH,18319,Gender_Inequality
AGRICULTURE,18284,
TAX_MILITARY_TITLE_OFFICERS,18166,
TAX_FNCACT_STUDENT,18060,Schooling
TAX_FNCACT_GUARD,17968,
DRUG_TRADE,17823,
WB_1484_EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET,17706,Schooling
SOC_POINTSOFINTEREST_SCHOOLS,17465,Schooling
TAX_FNCACT_ENVOY,17432,
WB_2131_EMPLOYABILITY_SKILLS_AND_JOBS,17367,
WB_818_INDUSTRY_POLICY_AND_REAL_SECTORS,17312,
WB_642_CHILD_HEALTH,17294,
WB_723_PUBLIC_ADMINISTRATION,17248,
TOURISM,17220,
TAX_FNCACT_CRIMINAL,17200,
WB_1459_IMMUNIZATIONS,17139,
WB_2689_JOBS_DIAGNOSTICS,16908,
CRISISLEX_C05_NEED_OF_SHELTERS,16454,
TAX_ETHNICITY_AUSTRALIAN,16379,
TAX_FNCACT_ACTIVIST,16297,
TAX_FNCACT_FOREIGN_MINISTER,16201,
WB_697_SOCIAL_PROTECTION_AND_LABOR,16160,
SOC_POINTSOFINTEREST_HOSPITALS,16152,
TAX_WEAPONS_GUNS,16045,
TAX_FNCACT_LAWMAKERS,15495,
TAX_ETHNICITY_RUSSIAN,15493,
EPU_POLICY_LAWMAKERS,15358,
TAX_WORLDLANGUAGES_RUSSIAN,15351,
SCIENCE,15304,
TAX_ETHNICITY_BLACK,15238,
WB_166_RAILWAYS,15238,
WB_1920_FINANCIAL_SECTOR_DEVELOPMENT,15224,
WB_724_HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,15204,
WB_2048_COMPENSATION_CAREERS_AND_INCENTIVES,15104,
TAX_FNCACT_EMPLOYEES,15098,
WB_2471_PEACEKEEPING,14792,
TAX_FNCACT_CHAIRMAN,14723,
IDEOLOGY,14685,
TAX_FNCACT_WORKER,14683,
ENV_OIL,14322,
PUBLIC_TRANSPORT,14234,
TAX_FNCACT_LAWYERS,14172,
DISCRIMINATION,14123,
EPU_CATS_REGULATION,14061,
WB_566_ENVIRONMENT_AND_NATURAL_RESOURCES,14049,
UNGP_FREEDOM_FROM_DISCRIMINATION,13758,
UNREST_BELLIGERENT,13755,
WB_167_PORTS,13668,
ECON_STOCKMARKET,13531,
SOC_POINTSOFINTEREST_JAIL,13518,
NEGOTIATIONS,13258,
WB_2448_MILITIA,13237,
TAX_FNCACT_COMMANDER,13199,
NATURAL_DISASTER_CYCLONE,13093,
TAX_FNCACT_MINISTERS,13012,
TAX_FNCACT_CHILD,12943,
INSURGENCY,12922,
TAX_FNCACT_REPRESENTATIVES,12827,
ELECTION_FRAUD,12756,
TAX_WEAPONS_TEAR_GAS,12657,
RURAL,12588,
WB_695_POVERTY,12547,
WB_2769_JOBS_STRATEGIES,12535,
APPOINTMENT,12478,
TAX_WEAPONS_ARTILLERY,12473,
TRANSPARENCY,12400,
REBELS,12242,
IMMIGRATION,12181,
TAX_MILITARY_TITLE_COMMANDER,12121,
MEDIA_CENSORSHIP,12015,
