theme,count_x,indicator
USPEC_POLITICS_GENERAL1,112542,
CRISISLEX_C07_SAFETY,97180,
WB_2432_FRAGILITY_CONFLICT_AND_VIOLENCE,95639,
GENERAL_GOVERNMENT,93114,
ARMEDCONFLICT,87552,
CRISISLEX_CRISISLEXREC,85334,
TAX_WORLDLANGUAGES_BURMA,82845,
MANMADE_DISASTER_IMPLIED,81042,
UNGP_FORESTS_RIVERS_OCEANS,80061,
MILITARY,79557,
,78184,
EPU_POLICY_GOVERNMENT,77200,
WB_2433_CONFLICT_AND_VIOLENCE,76148,
EDUCATION,74805,Schooling
EPU_CATS_NATIONAL_SECURITY,70221,
EPU_ECONOMY_HISTORIC,63168,
WB_696_PUBLIC_SECTOR_MANAGEMENT,61300,
LEADER,54561,
TAX_WORLDLANGUAGES_CHINESE,53075,
TAX_ETHNICITY_CHINESE,51673,
USPEC_POLICY1,49664,
LEGISLATION,49471,
SECURITY_SERVICES,48748,
EPU_POLICY_LAW,48154,
TAX_FNCACT_POLICE,46903,
EPU_CATS_MIGRATION_FEAR_FEAR,44315,
KILL,43671,
SOC_GENERALCRIME,41822,
GENERAL_HEALTH,41740,
WB_133_INFORMATION_AND_COMMUNICATION_TECHNOLOGIES,40798,
MEDIA_MSM,39766,
TAX_FNCACT_MINISTER,39179,
MEDICAL,38908,
BORDER,38702,
WB_621_HEALTH_NUTRITION_AND_POPULATION,37817,
CRISISLEX_T03_DEAD,37684,
AFFECT,36876,
TAX_FNCACT_SECRETARY,36811,
WB_470_EDUCATION,36228,Schooling
WB_840_JUSTICE,35598,
ELECTION,35120,
WB_831_GOVERNANCE,35039,
SOC_POINTSOFINTEREST_SCHOOL,34374,Schooling
EPU_ECONOMY,32784,
EPU_POLICY_POLITICAL,32706,
TAX_FNCACT_PRESIDENT,32634,
WB_678_DIGITAL_GOVERNMENT,31621,
WB_832_ANTI_CORRUPTION,30962,Corruption
WB_135_TRANSPORT,30962,
WB_2462_POLITICAL_VIOLENCE_AND_WAR,30850,
WB_507_ENERGY_AND_EXTRACTIVES,29806,
WB_2470_PEACE_OPERATIONS_AND_CONFLICT_MANAGEMENT,28417,
WB_694_BROADCAST_AND_MEDIA,27867,FreeSpeech
WB_137_WATER,27836,
WB_1921_PRIVATE_SECTOR_DEVELOPMENT,27710,
WB_895_MINING_SYSTEMS,26863,
TAX_ECON_PRICE,26849,
WB_1699_METAL_ORE_MINING,26342,
CRISISLEX_T02_INJURED,26149,
DEMOCRACY,26016,
UNGP_CRIME_VIOLENCE,25849,
ARREST,24877,
TAX_FNCACT_CHILDREN,24037,
CRISISLEX_C03_WELLBEING_HEALTH,23887,
WB_1014_CRIMINAL_JUSTICE,23808,
CORRUPTION,23767,Corruption 
WB_2465_REVOLUTIONARY_VIOLENCE,23627,
SCIENCE,23016,
TAX_FNCACT_STUDENTS,22931,Schooling
TAX_FNCACT_WOMEN,21993,Gender_Inequality 
TAX_WORLDMAMMALS_HUMAN,21907,
EPU_POLICY_POLICY,21415,
WB_698_TRADE,21399,
WB_1803_TRANSPORT_INFRASTRUCTURE,20845,
TERROR,20675,
TAX_WORLDLANGUAGES_BURMESE,20572,
SOC_POINTSOFINTEREST_UNIVERSITY,20310,Schooling
WB_2936_GOLD,20010,
TAX_FNCACT_LEADER,19982,
WB_2490_NATIONAL_PROTECTION_AND_SECURITY,19756,
WB_2019_ANTI_CORRUPTION_LEGISLATION,19755,Corruption
WB_2020_BRIBERY_FRAUD_AND_COLLUSION,19734,
MARITIME,19359,
TAX_FNCACT_REPORTER,19283,
TAX_FNCACT_CHAIRMAN,19049,
WB_2670_JOBS,18785,
TAX_FNCACT_KING,18600,
WB_2445_NON_STATE_SECURITY_ACTORS,18503,
TAX_FNCACT_PRIME_MINISTER,18416,
TAX_FNCACT_SOLDIERS,18408,
TAX_FNCACT_TROOPS,18277,
TAX_MILITARY_TITLE_SOLDIERS,17987,
WB_346_COMPETITIVE_INDUSTRIES,17304,
TAX_FNCACT_OFFICIALS,17178,
WB_2203_HUMAN_RIGHTS,17055,HumanRights
WB_2495_DETENTION_PRISON_AND_CORRECTIONS_REFORM,16897,HumanRights
TAX_FNCACT_OFFICIAL,16867,
CRISISLEX_T11_UPDATESSYMPATHY,16838,
REFUGEES,16576,HumanRights
TAX_WORLDLANGUAGES_RUSSIA,16510,
TAX_FNCACT_WORKERS,16248,
WB_2453_ORGANIZED_CRIME,16174,
